reviewId,content,score
b5740d06-3807-4277-8bfa-9aa067f6ac0d,nice app,5
791a5ebb-5b4d-4490-8a46-121e95dee0a5,nice experience 👌,5
952236f6-8d38-4c7a-9d18-369ca73d9495,Happy to share with you,5
3ecf5cc8-85c6-41a0-a2e6-3568b0f2f5f2,wow nice,5
adaf6d28-7d81-4628-98c2-5bdd8c3a2adc,"This app is garbage, unlike youtube where the earnings are high, here the earnings are very low even though the views are high. The equivalent of 100k views is only 0.10 dollar. omg facebook",1
d9ff8c5e-b161-4635-aaf6-67564abb558f,nice,5
ff2da3e7-1ec2-4a7d-98f6-17928a418b6e,how to see my dashboard,5
603fff70-3fba-4619-944a-ad4e82c73275,Seamless and effortlessly cool. Very easy to use.,5
375eab3e-04f0-4457-a204-bf2204f63552,Facebook my account is not applied,1
c0eaf3d4-65dc-46d5-b69b-62ad5b00a51b,Facebook is good 👍😊,5
8c7970a5-e1f6-4c18-a7d6-5913c38f3e29,"Too many ads. A constant pollution. Don't see post from all my friends list due to these ads. Always the same friends. Generally, Facebook is a spy and not secure enough.",1
911cd3a5-08b4-48f3-b74b-cec58498afa8,very good application,5
f70eb05c-3d9b-4507-b8c8-88a87f9acc84,good,5
5e73cf3f-02df-4da7-8b28-e0eb0f9e261d,"Facebook has so many complicated, settings. It's very frustrating to find things, people or info here...",1
8f506778-0b02-43f4-96b9-0e396c16e567,we are being force fed ads and forced to click on them because the screen won't move until you do.,1
0ec1d0b0-26d0-4e9a-9e9f-d41af8491ed3,aashish Yadav,5
fcf9320c-a982-4815-a3e4-3e5fd73ce2ba,my Facebook account support my new friend increase my video support. viral video,5
4cc1de28-1d27-4b89-ba11-1fe04d1d4f06,Facebook is good platform but how to use?,5
9102c7e4-6fdb-4a62-ba8f-619afbb5b399,nice,5
7e5dd372-304a-49d6-a8ca-6c223a21e998,No like app TikTok beautiful 😍❤️,1
8de73310-a179-4df5-ac30-7631a02e382d,away to keep up with my family,5
aaa2074e-90e7-48a9-804e-b862cb706786,It keeps loging me out and keeps suspending my account so I have to make a review then tells me I pass it but wont let me keep my account.,3
f91599d5-86b5-49d4-8a80-b1b4cb165979,MY MAIN ACC GOT BAN I BEEN USING FOR 10 YEARS AND I KNOW WHY BECAUSE I DINT USE MY REAL BIRTH YEAR I HOPE YOU UNBANNED ME FACEBOOK I NEED FACEBOOK FOR SCHOOL BECAUSE THATS HOW WE EXCHANGE MESSAGE WITH MY CLASSMATE AND THATS WHERE OUR TEACHERS SEND OUR ASSIGNMENT AND WE USE THIS TO MESSAGE OUR LOVE ONES ABROAD,1
6b633ea7-6a51-4c17-bd06-7833ab2d626c,loving,3
4e7ae7df-4bf1-4ab9-80c0-f78222366ca4,the most recent update with the thumbs up and down on the right hand side isnt good. im constantly liking stuff unintentionally.,1
a52a0d24-d844-4d41-9895-af885cc6408e,i like it,5
57282c40-997b-4c0a-9882-bbd99316c599,good Apps 👍,5
7a16c3ea-c20d-4542-9119-45fd18cbeb8e,hihi,4
0168abd7-5b25-42ad-805b-7b0e5042c506,tis is good,5
a72e5eca-6482-4950-a2a6-36a7aad49917,haha,5
58e38fcd-8fec-4206-949e-0cdcaab3388e,i like this apps for my earns and meet are new friends,5
9fe27cf7-8af9-4b30-aa37-454e4d105e4e,اپ کے ہر بات بہت سیریس سنجیدہ مسکراہت اور اچھی قسم کی ہیں بھائی,1
b0c63780-54db-4eb2-a415-1bca750104e6,OK,3
d395ff74-5d6b-48b1-b454-37148321e100,Thanks you,5
20765c66-989b-429d-a4e7-ccd8787605db,personal data leaked 😔,2
bb5f0be9-635a-452d-98f6-9bcb2365214d,they are the best!!!!,5
1bcae3d5-3e74-4208-a314-d55fbd9ffafe,thank you God,5
36846c13-c9e9-4f2f-b66b-fec28163f62f,wrost,1
62373022-5cc1-4916-ad7c-9f806aeb7aa3,nice,5
be0eaa74-6cd1-4af5-8f77-0d7bcf5cb109,good,5
f5398b94-83e0-458c-97ca-e0e90af158b6,IYKYK,1
621383da-ff56-4caa-816d-6fb5fb18ac7d,bien,5
fa7f1dd9-b909-4405-8676-65b1c874469f,Nice app,5
64065382-fbe6-4bcc-865b-95b5fe44226d,it's good for everything,4
1f33cb37-8054-4815-930b-d8ade5ec723d,অনেক ভালো,5
7319c7fb-41c0-40a5-9c13-ab38f5e1dd51,nice,5
e0ad36c4-8229-464c-a983-eb5985da86e8,it has been horrible i can't place calls to most of my friends anymore,1
e92e2246-2247-48c8-9502-e3aec6fc7a0a,nice,5
28e4089c-5a1d-4456-9c42-56b7e0357f24,"walang privacy, kahit nakahide nakikita pa din nila!!",1
daa8cdba-5f22-498c-8b21-eebb92434a5b,all over ok,5
daf1955b-4e27-4c59-b757-f1e9f696fdd7,very good income facility,5
2aba80f5-b7e7-4011-94f2-23d271c50dbe,good platfrom,5
9e43154a-2c9d-4de2-b513-4bcb31ea9926,Pathetic.... Still no landscape version of this app for tablets or foldable phones. Are the developers of this out to lunch??? Still the same !!!,1
f94f3d94-3820-4aee-84d1-470f742ddf38,Facebook has removed video options and it doesn't have quality adjustment.,2
