reviewId,content,score
c96d1edd-1b24-4dad-8f6c-baea45c8c7a8,very good,5
bde2d52e-9975-4261-9deb-70da63839b5a,@___iamkaran_1 mera account bohot tezii se gir rha hai,5
535ceaab-0751-486e-886c-4b3f610bbe91,what problem in Instagram,5
713fe2e2-c095-4582-9142-9e19af6f699d,lnstagram,5
8ac06967-2903-43b5-b807-e53d372ec141,muje reel se judana he,5
23ed524a-2306-4208-8b42-00dbdbbaee64,its a good app,5
530a2ba9-21bc-4462-bfc9-41b0199898ee,falsely banned me cause of cse which I never did and worst part you can't contact support unless you pay money for support and that's the problem cause I try to verify and for some reason even though I used my real face and ID it still didn't let me get meta plus fix these things and unbanned my account,1
eaf3cb4d-512f-4885-9df4-31ba545a765d,update valo hoy ni,1
a5a24d3d-78a3-46ee-99fd-dfb8de82013c,best social media app out there,5
b05a1093-b21a-4e73-a0af-17c7caa4fe37,yesterday morning I saved two videos but now if I unsave that particular video that video is not unsave from my phone so please kindly note and give some updates to me for this issue..,5
06f4a96b-1ca3-4a3d-be26-be389f440e09,mere wale account m doodle bnane ka option nhi aarha,4
b0368f37-2a79-4d57-a175-4df265641a45,"worst experience! 😔 app not posting my reel ,just showing internet connection is poor but my all other apps working and speed is ok and ,app is updated and device is clean but why still this glitch,very disappointing fix this now!",1
36be450c-063c-4275-80ca-f68955aba135,"Don't download this app because if you get addicted to it, you won't be able to get rid of it soon 😢😒",3
2a4ef8f9-e426-46fd-b899-e732a7571c94,nice,1
719169d0-dcab-4359-acab-7af3f1c07d9f,GOOD,5
ba3b9b40-a549-4173-98d3-01085bdb3da7,"You can't swipe through a set of photos now without swiping to reels instead, unless you swipe VEEEEEEERY slowly. It's aggravating. Meta loves to break their apps with unwanted, garbage changes.",1
2084f142-8f09-42fb-b210-b8c22acf2c88,I am unable to remove saved posts. As soon as I unsave a post it auto saves and I can't get rid of em,1
d8e61b03-969a-4b10-9d2e-3e59d7cd7f51,Instagram is very helpful for us. It gives us many facilities. We can share many news on it.✨🎀,4
b919e08d-c232-409f-8d50-4c5db62c3dd1,Great app and it's good of you wanna build a community,5
edf11314-9d44-4f47-bda3-eded3caa1cfc,my fb account suspend because of this igg,1
332daa96-f96d-4e27-94d2-5b736a158371,good,5
4eb430d8-f3b9-47be-8ab2-e33eb365e51a,reduce it to 88 mb,5
f5ca9982-dd83-44b3-87c4-24e4a6bbb6f0,acha lapga,5
b78df2ba-be65-490e-857e-b15156cc9660,I share my memories for always be alive🙌✨ ಜಯ ಶ್ರೀ ರಾಧೇ,4
f78c44cf-e6a5-4485-bc61-9df3f8e0fe78,great app,5
7ee8928f-a607-47b0-87a4-581db29b88b6,I love you app,5
86ac3146-7500-437a-96af-75ab1dbfd1e5,good,5
fb2fa6e1-45cf-42c8-8797-90943d8a9f46,Its a very good app you should try it and from here you can learn many things,5
70e9f4f4-0446-4eb9-89c9-419f774259a6,instagram bahut accha aap hai or ise sab log chalao please my request 😔,5
9107b3b1-9b92-46ff-9816-e27fbd4dd0fc,good,3
f2bcd64e-39da-447a-b889-4a5ddc849197,Highlights are broken. I am not able to view all 46 highlights of mine. Others are able to see on their profile. clearing cache/data/reinstalling doesnt help. From my account I am not able to view all the highlights of others as well. What have you done to my account instagram? Have seen other people also reporting the issue on X,1
18354ca9-4937-472b-8beb-24c784435ca6,that's good App,4
9dfacc72-34c7-407c-8054-42a107c0d7c1,It is am amazing app,5
81c669ed-9bb2-4761-9190-b19262a57487,Excellent,5
44dde370-4f6f-4ea9-a02a-783da639191f,Achha nahi hai,1
9de8d308-cf70-4be2-ac7e-357b2297b3a6,મસતહે,5
e3c78ae0-3744-4c65-8114-ff07bb89f78e,This app is very bad,5
19116db8-23fa-4eb3-9494-50f48cef1d33,Arshad,5
76f92119-11b5-4b56-8d9b-988dd746fc43,"since I did the update, the reels won't play at all.",1
feda9314-79fa-4b76-97f7-68b03af8f23b,Best chat app,5
edd69b41-a850-44e7-9318-4247f4f7cb33,👍,5
8285002b-a83c-4095-a240-d524f0e6fb6f,"this app is so good ,I like to this app",5
ec5041a1-5dc4-4931-99b8-fb30affebee4,nice app reels send any more send thanks Instagram nice app!! *,5
3b251278-45eb-424f-b5cc-92120a79a5b7,why not mention others on story it was not good,1
8a1067a3-3aac-491d-bad9-1e1cc4117868,"Since they removed ""recent"" as a way to see new content, its only established content creators who get seen. they've made it near impossible to discover new creators, which is sad to see.",2
2de9537f-0a4b-416c-b04c-85488d1eb2a6,Great app,5
aa9677dc-6986-4f7e-a4de-1db7d81c238e,install,1
490bf62e-59de-465e-a267-ed555a57d078,"The new layout is actually terrible, y'all want people to watch reels so bad Did you forget you're supposed to be about photos and DMs, not TikTok 2.0?",1
4237e529-d26f-4cf2-a7b3-1385da943913,super kadkkkkk,5
a6862f24-35b8-415f-82b4-d047399c6da4,good,5
d68afd14-1525-49c7-a2e1-b5f01c2e7b57,good,5
3b4b3949-f742-4ec4-99fd-494e22712337,I'm to enjoy this app.,5
b6698c7f-8d95-4479-98df-3744e3b65500,amazing hai,5
877a9ca5-2833-403a-a5f9-7c7cc8e8f50c,always changing things and it's very annoying and not helpful.,3
ae4fec4d-3c1a-4606-9e3c-1c17a1964926,Why Instagram increase my following,5
0555c20b-eb40-4d03-b5b2-d5d6c5909397,because my all video goes to viral maybe. i think that but it not real. please Instagram viral my videos. just one please.,5
c68dcfe6-0741-41af-bb20-cc89b5fb1814,hey Instagram - I open my settings option in insta stuck and autoback | solve this problem fast,2
0ca7ce1a-6147-4d17-8b91-adcff2aef4cd,My accounts keep getting suspended,1
aa86f11c-f549-4181-b681-f8922c86a6ef,nice app,5
4a4bb30d-10cc-4ed3-b85f-663c8736c40d,"I love my Instagram it is easy to use, isnt based on a liked factor only follows and following and posts and I like that alot.",5
1a584f67-a18c-4548-b2d5-41f4b48ba412,"Messages and videos send normally, but the time shown after sending is wrong. It often says “sent just now” or “seen minutes ago” even when hours passed. Please fix the message time display it’s confusing and annoying.",3
7d73ede4-f9af-4366-ab6f-df69ed6fade9,"keeps suspending my accounts for no reason, I've literally done nothing, and they keep claiming that im violating community guidelines",1
1562817b-0d0c-4feb-8c2f-a2f300cfdd89,nice,5
6e868780-8fd1-46b3-82fd-8cf90bde15b7,The app is generally considered easy to navigate and simple to us and many users like me appreciate the clear picture and video quality.,5
1bf70741-2123-4787-85eb-ff99930fb5ef,very good app,5
9143f75d-f33f-4d9b-81fe-48ca9c1504c1,Videos are not uploading pls check,2
182b5446-9e5f-414a-847e-56844bbc90c4,"they recently added a pop-up bubble that shows people that like a reel, and it's soooo annoying. please take it away!",1
743097c1-9ff7-4d03-966d-d9006edff22b,very good app,5
f4ac3df3-77d6-4399-8f9b-65648430d736,this ap is very good,5
a944bb48-f454-47cf-8620-bcc55b1c4928,why would u put the message button on the bottom...change it back pls,2
7278a700-7ad4-4f12-bf59-8b91e520a181,I love,5
66d96722-8dec-4711-863c-8053f3e687a9,happy,5
586c9eeb-5950-4785-9e74-144e85ade0bb,perfect app,5
7f910a0e-3f45-434c-ab15-11538b2948ca,very nice 👍,5
cf21192d-44fc-47bb-9087-228a3d4d7435,very nice 👍❣️,5
df0603c3-64d1-431c-b17f-d7792e260850,good app,5
b3009bf0-fa2c-4f5a-a26d-a16a7b601a14,UI update feels not good old version best,5
13e4a1ab-9ca0-4e49-bd35-c4397baa12a6,error,5
98e0460a-2a17-4d10-a0d9-b613a777a9db,I dont like the new update.,1
8ea84fc1-d111-4830-9515-9bdb691c4cd7,"If it didn't lag, and stop me from posting, this would be the best app for video creation besides YouTube. luv u IG",5
2cab1752-5941-421d-bf7e-bc7cd64bac74,it is good,5
5c3a1aa7-2034-4e05-af7e-7e0fc909214e,instagram me jo bhi reel/video upload karta hu blure (kharab) ho jata hai 😏,1
efae2935-1796-4fcd-b6d1-d4a12a28815c,It's a very nice platform for enjoying and talking our friends. Very easy to make video and more very effective filters. This plateform is best for make our life and making famous person. It is make you a better and experience person. You can do complete your more dreams and dreams. Thank you so much for This app It is make me more confident person. It's more earning platform. Thank you so much ❤️ More loving and more entertaining app Every one can't live without use instgram. Can't live without,5
874d89fb-8c02-4e19-afac-0885dbf53b24,i love instagram,5
306cc1a9-1bf6-4921-9c53-2a3660d499f6,very nice,5
0ba2fa29-9e07-45ea-87b4-1151a421ef38,star 1 because of latest updates! please remove the location features and restore older version where we could browse picture based on location. this is annoying as heell,1
0780b747-2c23-4c1e-b5d1-66ed600e0631,sensational 👌,5
884445ea-46c2-496a-b7fe-b4fd9955e63a,amazing,5
ec1616dc-0463-4853-955b-fc9bc03e7947,Ai everywhere and UI gets worse with every update unfortunately.,1
09595b45-7ebe-47c3-a5eb-7429bb908f81,Best Social App,5
3b6bf70a-9bf1-4001-adc2-11c414fff216,"Cadê as músicas do Instagram? eu pesquiso as músicas e não aparecem, só uma playlist nada a ver. quero o meu Instagram normal como antes.",1
d8bb026d-1f04-4336-9bbd-46c9c328860c,this app is very nice,5
9993ed70-40ce-4531-b7ce-095989304e62,"The latest updates had problems like suddenly close the video i watch. When I type my search or editing my text on my photos, it also suddenly close and get back to feeds. Please fix the issue. It really got annoying.",4
1dc1006c-b803-4ead-aa28-613a9095e7aa,very good,5
dfba1642-ddd0-440b-a119-8544ab7e16cf,i need privacy i cant deleted history account,1
7dc9f25d-78e1-4953-8f11-a83bb4528e75,nice,5
bdb51f1c-1eb8-45e4-89db-548e2b5f6bdd,nice,5
16ea09e3-a0a3-4b97-bbb1-0ef297d6794f,limits are ridiculous,3
9a32bb92-eb45-4cf5-898f-18dae9489f3d,you keep suspending my Instagram accounts for no reason at all. like I make an account and im not doing anything and then like 2 days later it gets suspended for no reason.,1
cb4796f6-dc19-4c14-9370-ab4d6e7c80ea,anil Kumar Sharma,5
54f7b7c4-b8fe-4aec-b32d-b1145235f79d,App keeps freezing over the last few days.,1
685142c5-4eed-4e5b-8891-9a10c6776cef,Amazing app,1
7cab4f1d-f22a-4f69-92ec-9fbe72001a43,"god i hate this app so much. i manage our Association social media accounts and if it was up to me, we wouldnt have an Instagram. No hyperlink capabilities, crops all our picture uploads and we have to spend FOREVER resizing them all on a completely different app just to get them up, and worst of all, the DM icon keeps disappearing and we are unable to communicate with anyone. The worst social media app available",1
2b79d7c8-cb16-4846-bf37-c2d92ddbf9bb,I love this app but it suspended me and I didn't do anything.,5
f2d81732-0767-4f70-917c-b1cdd7f8e65e,"videos continue playing after closing app. a few minutes after closing Instagram, videos from Instagram will play in the background while im not in app. have to go into Instagram and force close to get audio to stop playing",2
f854ea17-f050-4ea9-9ff2-981b3ec5d5c1,the new layout is horrible. go back to the old one.,1
1d0d9482-4be7-4591-b237-39f166eb9e66,Terrible updates. Not user friendly. They keep trying to be like tiktok.,1
f4c30a6c-2bd5-4d2b-9d09-592982a835e6,😘🤪,5
ac3f5426-f845-4af4-a9d6-68f04c146d2b,There is messengers to and employees who check my conversations and photos And upon their discussions . they give me Sanctions with out allowing me to have Congratulations with them,5
33d5a477-30c7-496f-82e9-a487e374b842,why did you move the DM button to the screen????,2
a5b29df6-a742-4996-a56b-d9b4c32e7553,very cool,5
11d8aecb-76a5-4b29-aec0-8cf3f43608a2,informative,5
8eaa0013-5dcc-415c-a88f-93fc0250f8dd,I like the layout,5
58453598-8a12-4d6f-9fb3-36ba32267777,جيد جدا ❤️,5
167fd43b-0ecc-447b-adfc-da4d90e570a3,the best app I have ever us it's reat quality and good communication with your friends and other,5
db75c9b8-6158-4a50-adaf-d1045ba3771f,very nice,5
9b6d5de0-058e-458b-8f14-ba7c1fc897f2,new version is not smooth for video maker,1
6d3f982f-9c37-4597-843d-7ab960280d14,I wish I didn't have to use this addictive cesspool for messaging,1
529b76b6-8199-4158-8a86-48ac8466db64,fantastic App,5
5ba53faa-b194-4d36-a4e0-6bbb00e9e4de,Good 👍,5
f576ffe4-5529-4f72-9ed1-1fa91ea44325,Good,2
76288fc8-e971-4f3b-8c8b-d27822724533,Super. I love it.,5
105019a3-8bb0-4655-9ef1-b4a79ef7a2fb,لا يريد التحديث لان الميزات الحديثة لم تطبق على حسابي,1
1ceb5026-0845-4853-b756-799af0e64cfc,❤❤❤❤,5
ec204394-e278-43cc-bf6f-808ae18eb31a,ig is so gooddd🫶🏽,1
3dd73bf6-8275-47f1-a810-6db855cf32a0,wow,5
f4c405bd-fd27-4ce7-bf14-ddd63a52e7ea,where's my doodle update??.... I have android and don't have it yet *cries*,1
e71f441b-3f76-44f1-9339-10754064213b,the best app,5
144a2958-e7a0-449d-8d70-fef9c36a722f,Cool pour texter avec mes amis,4
