reviewId,content,score
c56699b9-f6b3-4fcd-8a88-9818411070f8,very nice,5
ae9194de-f4bb-4068-b4dc-3a49dae3507f,happy,5
9a3562ff-a57d-4790-a56b-dde5b51f0a6f,good,5
8c768c09-40f7-4ae5-96d2-f0be190afc03,niceeee,4
f488d5bb-06b7-481a-af40-507564884f23,♥️,5
53f03e29-06ca-4853-927d-fd4bcb5dfd01,2016 version isnt working enymore. the app is so ahh in general. very laggy and confusing to use.,2
0fd15577-03bd-4b56-9396-8df4f837d9f9,It's exciting and very easy to use.,5
efc89c44-90ce-4bce-ba7e-032ba24a03f8,pop ups are annoying,2
02e37fac-5f39-4b10-aee5-81d2b781a579,too laggy,4
b6027e6a-7b45-4209-b5f7-8ced82df7895,This app is great when I have to view my college lessons on the go.,5
35d52d1a-e344-499c-96c7-6d7365364975,Good,5
4c7fa9c4-02a2-44e2-afc9-fd7363f14596,good,3
99077d3d-206c-4361-9f0e-8adbf0c93ef1,it's very useful to my students,5
6bfd8756-720e-450c-b81c-7bf3b10221b4,good,4
a69e775b-b2fa-4417-9198-07a34e5fc53c,for Android 15 mobile 📲 download Slide and Microsoft PowerPoint both of them good,3
14bd4b97-7ec5-4119-b2da-1cb818f9cef4,very useful,5
885eb9c2-7320-4c5a-a718-e7c1db26c555,nice,4
578fa080-9d5f-4294-89d1-42bf33b54853,ok,5
1ec3a2c0-046a-4847-8f13-0046c8dbe0d0,its a good app,5
69638009-d943-45df-b7c0-3eb292fc9fdc,i make all presentation peacefully,5
374515a5-f092-44de-911f-444e08dd9c67,good,5
9cc8fe3d-96d3-4c92-bd28-f77b08e37333,Good,5
268dd4a1-349c-4598-93b7-5d6ef53798b3,very nice app,5
2d681178-cc23-4083-9894-7f61d1ef3304,very much good quality.,5
a540afea-9070-4341-a27e-0cf2b6672553,the worst app ever when you try to create an account the year function will not work. The worst app ever,1
fc6b425d-33c0-48e6-abef-a0c5267da20c,"Good, but if charges for subscriptions are reduced could be more better .",3
333273fb-f7b7-4b04-8356-f0ab5f0f382c,it is a very useful app for every one,5
0be025cd-1935-4325-841d-cfad97c526b6,good app,5
835ce6ac-a84c-43b9-bbf0-1ec3b00e3776,Why full access to storage required? Why can't I start without login?,1
86dab8ca-69d7-43d5-a722-2022d6090b5f,I found it very much difficult to use,1
6e2c4137-c0ae-460c-8ba4-6705835b9c76,I got stuck at the details filling in part. like seriously I am busy and it was not moving forward.,1
92156e6f-5c69-4c91-8aa5-4a5082f87a68,space given for the notes can be a adjustable one for user's convenient,4
ad3b2ee3-fd46-433a-befe-4c6a2aa3bd52,all good,5
ed8eb785-d4d0-49b8-9355-2626d2693191,superb,5
e07051b0-460f-47ca-9477-af9632437ff5,it's performance is good,3
5a08aa06-9a2b-4aed-90aa-31ed0b530c8f,works perfectly,5
3cb4d4e6-580a-46c3-aaeb-813535459152,super app of free of cost,5
f8bb1c5a-e5e2-46d6-8a9f-c372b60ec39b,it's so eazy to use,5
353feada-855b-4541-9045-9fe8f09ea61c,good,5
98ffc630-5be7-4bbf-8f83-81c8ec50403b,super,5
65b4d317-b8ae-4547-817d-8f747002fe0e,easy to navigate,5
16e2f9d7-8f3f-42df-9e72-58af48f2a05d,Amazing app for if you don't have a computer 5/5 would recommend,5
a77aeb03-f7aa-45b6-9342-692b330c9033,it sometimes does not do what I want,4
c66d6e5b-68e2-4d85-95f5-91032ac544f0,Stop the stupud text to presentation fucntion or at least stop asking every single click I do if I want to change to text.,2
1c2cc866-13f0-4f3f-b2a0-c73e35925534,Great,5
95ff6f4e-00bb-4caf-ac6f-94ce22d47a5e,Awesome,5
b43b8dff-51e8-455e-a17a-e2e953a5e8fb,good,4
25f69a0e-1bdf-4f2e-ab43-0415b001a9cc,So easy to use,5
6d23f950-75c0-4890-92e3-91b25500e03d,unable to receive the OTP,1
e63980f5-a1e5-4b7c-8e11-3c2514ecf99b,very useful,5
077021c8-0945-4089-81dd-8ee3e9ea8ad8,good app,4
2d61cb12-ac39-4bcf-a524-3754c4b80187,it is very O.P tbh,5
9f8d9877-5fa7-40d3-8774-9a4ee31596f7,very nice but can give options for animations on the phone,5
61a42856-e2cf-4d84-9b6e-3b4dbc4084c7,it is worst,1
1501ffd0-52ec-4a03-bcbd-c8d7420abda0,super but.....,5
90b3c101-559e-42c3-846a-268d3ef21a4d,osom,5
63f6a850-e0e9-4d99-905c-590c7d674cfc,"it's like. not even letting me make the pot like when I am clicking blank presentation, it's coming to subscription it and give money, so yea 1 star",1
832f6fca-5b7d-4362-9ce9-526ce2a2c2d5,not easy,2
f716659b-e5e8-49e5-90f0-3411f7db472f,good,5
b02de210-0f88-44d5-a431-cb5ced19b646,good app,5
0c541e71-1c49-4dab-b8f3-774bfdeee354,i really like this bcoz is really helpful,5
adeed598-3e63-4a3d-82c7-8adf2bd5b07c,"easy to use, similar to the desktop app.",5
b5877427-fcd9-4095-ab24-3d0bc485829b,easy to usee,4
9914dd21-cc22-426a-b751-33498f35ae39,useful,5
4ac81a66-ff6d-4975-a28d-9ec23bf378a2,it is very quick,5
5366ae88-f354-4203-8f3d-49b8fd975c07,"my presentation's is missing?!,i jope they will fix it!!!!",1
19a35361-4e94-4a79-935b-e737ab6947d0,very useful,5
24425a11-f0a4-46be-befc-1de75c8c676d,ok,5
28b691e4-7dbf-4bf6-98ec-a29bebdeb6e1,FIRST TIME USING THIS APP DON'T KNOW YET,5
