reviewId,content,score
be109f1d-c76e-4620-90ef-f7e061aacf3d,Good ap.,5
d09a05f3-3938-43af-86db-ca840c33d0e3,Become so bad in Arabic fix it,1
c380ccac-c269-49c5-92d1-e6733ddf1585,it's what I use,4
81b65164-a0a8-48de-ae58-78ba7d0c7a47,it's a great app,4
5eaa2251-669d-4b33-b0b6-f862e628c6c0,It's very good 👍🏾,4
3cfc7e09-3849-4e7e-9cd6-732bc9efb8b0,good,5
43b17fba-3d23-4618-9b4b-0d628cca1013,It is a very good app,4
8ce36dee-9e02-4dca-ae9d-3ff2cf20419f,very good 💯,5
21be75f2-4913-40c2-8dab-347ab999d53f,This is an awesome app I am sure we all know that,5
d9826fd7-ceab-4b37-bb1d-f673d1a11656,excellent,5
58f6f407-40cf-46d4-b0d8-623116e4a6ed,best ever,5
b0771350-3da5-4d12-b52f-135d146270b1,this is the best app for preparing documents,4
37f78ae6-22fc-47c2-8ace-8ce915b5471e,I've used this app for years and absolutely love everything it can do.,5
4f5b5a30-6934-4c6f-8ba7-4bb32b4e41a1,cool,5
0ba4b59e-9360-41f4-8c87-fccb02e21ee0,Good,1
9b000fd2-48ac-4421-87d2-f2202a9bbb01,nice,5
4fe1966e-46e9-4663-9091-ae222bd4a34f,Great experience with word,5
c1a5d993-cc9c-41d1-b3e9-6d8a345b70f4,good,5
bfa7d274-3736-4626-befb-e7e06e0ab158,Helpful.,5
310d74f6-4899-41a5-8154-9175330649b0,good,4
cfc9d519-b50f-4cea-ae65-18a8aacdaeae,Best app ever,5
6659b79a-ecf0-4f4d-90ec-73130fe94270,good,3
3738defd-043f-4149-b0aa-8dd5669a56fe,good,4
eb5273e9-991c-4a45-bad5-9df2b376baa6,I have no difficulty in reviewing or editing documents,5
1fa251e2-4a55-44be-abe7-74098ff1bd20,good,4
e43c4d5b-a0cb-4ab9-b661-0003ee9d44da,It is great👍,5
186d7006-0a4e-4dfd-9c3e-c49fa5c2ab16,This apps is Very amazing 🤩😍,5
ed865af9-2d31-466d-a6f0-1f679313c373,nice,1
04ccc4d1-262b-4780-9ecc-644feea77962,stop forcing the subscription down our throats brochacho,1
24b26ad5-6ac4-479e-aabf-30bb156ec0c7,ok,5
5c2390e7-f27f-4913-8f44-decd17415e40,works perfectly fine,4
10f60420-bb4b-46e8-a798-20c770d30549,best app in Play Store I like this app,5
f63a54c0-e164-4821-b288-2cf26e7a7d95,nice,5
3b20250e-292f-4198-a4c8-01243fd02b6a,It's unrealistic to expect the same comprehensive features that are on desktop. But the fact that one is unable to edit/save as DOC (perfectly possible on desktop in 'compatibility mode') makes this useless.,1
6fb5d613-4a5b-4115-940e-a5231bcca9c4,total garbage! Documents disappeared cannot access waste of time,5
d7202e4d-78d7-4f57-b49e-b3c5804de73f,it is a good app,3
a0364a4a-bed7-4929-980b-eaa1b1224257,it was taking to much time to open,1
0fba53fb-850a-47b4-93e4-bd469520c66b,It can't work without data,5
3567418d-f31d-40fa-aed1-4faf8d75c7ca,Very helpful aap.,5
f651a315-ec79-4d2f-b321-179dee4be540,"Am kinda new to this app and I tried to use it for my report but alas it couldn't even let me sing in, use my already existing account or make a new account, it was a really devasting moment for me as I was really looking up to it. I downloaded it becomes it was highly recommend by users but it turned out a tough luck for me. l don't even know how to Leave a suggestion for for the engineers of this app 'cause I couldn't even open it.",1
d231c66f-1efb-4ae4-9128-11f7aa167045,good,5
27beaf0d-3890-4ea1-b179-162cd03cb9fa,beautiful 😍,3
