reviewId,content,score
4a652c4a-afc8-4faf-8e63-0887cbaeeda6,Play error (too many people watching at the same time) while I was the only one watching it at that particular time.,1
7aa3b28e-1a28-4c80-ad6c-8b61a37e8bd9,the worst,1
c7494d95-bf28-4f13-9bdd-2a528caa2781,good,5
23d48faa-fd1d-4d92-a772-ef22fd7c8449,กดยกเลิก membership แล้ว ยังโดนหักตังค์ ระวังกันด้วยนะครับ ตอนนี้ผมกด delete account และลบแอบไปเลย,1
76aa7d16-aa8d-4677-bcdd-688c04eac027,cannot login to app? rubbish patch,1
583e7fa8-0235-4708-ba8e-1d6a2516bae5,can't find icon.always dissappear s,5
8b87312c-d248-4f31-878a-915bb1e467c0,I wish I could find my list easier,4
452a6e0b-b319-4573-9e17-983fd2a987fb,dog man is our favorite movie 🍿 I think Netflix is great 👍😃,5
b9360157-9eb1-4855-807d-9d7d44df808d,This app is amazing 😍🤩 I can watch all my favorite series here,5
3965fa0f-975b-4b1f-b9b6-61f7e439dc58,not good,1
424fcbc9-26a5-4b2b-bd51-ae39f22b95d6,came pre installed and device won't let me remove,1
aa5ac3f2-7040-4071-a38a-d4e157abcb32,the home of love and sweetness,5
9d1d8595-15c1-4497-94a9-fabac8878081,I love this app Netflix has sooooooooooooo meny of my childhood movies I absolutely love my mom Is watching it right now I hate it 5 stars absolutely 10/10,5
c418fe3a-db04-410f-ac4b-4068574db349,cool,5
3ebfa1e4-7524-462a-bb6d-6badd235b461,mostly for the good,5
a963d01e-14f1-4cad-8a1e-d5a7f637b645,"very bad, company doesnt care",1
d9ca6bac-35a5-47a9-a6f2-84b08e4145db,interesting and funny,5
ee26f181-0577-49e7-beb4-0782657b94d7,it amazing,5
cc089386-0be7-403e-a603-937225d7a472,can will download in any different television,5
fb819f58-63ef-48a0-9823-79cf5a0e39ff,Amazing🇺🇲💥💫❤️,5
ad4bc370-69d9-4221-a986-72f93761a9eb,"constant freezing, no longer watching or paying for their service. Customer service needs an overhaul as well.",1
aa649ae2-ab71-472a-8103-7a46267ff3d0,error nonstop.,2
a186ad8b-708c-4749-a921-87dbf1568bcb,They don't explain that you can't use Chromecast with the subscription containing ads. False advertising.,1
48b7ba0a-3d7f-43be-bcc0-2d3a1006f441,Meny bugs automatic exit. plz bugs fix not play video only show loading ....wrost netflix app,1
07bb51e9-3f55-4521-89db-465335fab79e,"I love how there's a type of standard,a type boundary where you can choose a kids channel and an adult channel",5
3ca9d345-a702-4fae-aac9-5cd1731e0ce4,"The Household rules are kicking out people who are in the same house, on the same wifi. The tech people really messed up",1
fb039b75-8948-4074-afef-30bcb9457c8b,Great,5
dcb9b01c-a6f1-4b01-b224-add3d97b5e96,❤️,5
605d7dd4-c71d-4f5d-b489-b84cd669ffad,useless app wasting time of peoples or not open without pay money this is ridiculous 😒 .,1
38cc7c4a-bd33-4459-aefa-5c85c4218054,please add wwe25k android version game in india,1
85fb9385-711d-4452-abb3-df79950554df,"App was all good and cool until they decided to put the household limit feature. Whats wrong with me wanting to share my netflix account with my siblings? Literally the only reason i subscribed was to share my account with my siblings but since i can't even do that, i might as well switch to a different platform. Greedy as hell company, I don't recommend them at all.",1
f3108b13-5361-4332-bcd1-9959a323475e,it would have been at least four stars if not for the issue of movies not playing again the moment I leave the app and return. it's minor but pretty annoying that I'd have to restart my phone just to continue watching the movies again. please fix it,3
b1344f0d-3b6b-4a70-96ab-ee583c858084,very nice and good work,5
050305a9-0b78-4838-bcb4-c62f11b21d1e,not available all movie or web series in telugu other languages hindi & tamil or available disappointing,3
d3fa0f83-25aa-496f-8e92-834ecbdc1c4a,nice best in the world thanks a lot for mahaavatar narasimha movie 🥰 with many language but a problem when I see mahaavatar Narasimha online without downloading it has Malayalam and other language but when I downloaded it it only has Hindi Tamil Telugu and does not have Malayalam and the online language that are showing Before downloading please fix it 🙏🙏😭😭😭,5
211cdc2f-f50f-477f-8360-c7b3f0ac3f15,Nice series and movies they motivate us all the time they also give us lesson.,5
0321c175-9957-428b-823a-2c4fc39eaa31,🤝 best moives,5
abce3a1d-2d65-4dfd-807c-41b50b3bfd4a,Awesome,5
8598df07-df93-49ca-819f-08d2ccbb3883,good,5
1308c557-1164-4f1a-8601-419cf4dd480c,s c a m,5
283a9d86-6778-4b3f-9381-9d2b3de7b3e4,Awesome Praise God,5
efd329f9-d230-4d04-86b1-c1e0e3d91063,eh its ok but please stop asking for subscription I just want it for free!,3
bf326193-4053-49ae-a933-130c566ad26a,amazing 👏,5
ef23b33d-5aea-439a-8b6d-85e95703e110,note oppen in Netflix,5
497396a5-7d77-45ee-970d-45f7cbd6d7fb,This is the most favourite app of mine. I really loved this✨️.I really watched more than 50 series and the quality of videos is A++..🫡,5
6ab5f5f0-5584-4c6e-91ea-420f93472e27,DEMON SLAYER all I gotta say <3,5
