reviewId,content,score
f9692473-a27a-483e-9eff-ed82aeb617f9,not easy,2
d15ec6d7-03ed-46ac-8b10-f00dcd1a0999,I would like took all Skype access by my self. I didn't gave Skype access to anyone. I am the Skype main owner. I would like work automatic.,1
35d9e577-cd9b-4e3a-8f2d-bb6e2e39d171,Please bring this app back.. 😭😭,5
f93e8b86-23d3-4f01-b99a-a7e333d859f0,Ne marche pas sur ma galaxy s,1
36b40050-c8de-4f86-958c-ab8b33d6b7e0,good,4
4d326642-6b9c-42e2-93af-5154dae00e16,It's a good app,4
1ec08a02-093a-4aa9-b032-e7bb32880c8c,"The best app! Please, bring back Skype, it's so good!",5
e890f237-1451-4112-86f2-5e9c3a57c019,ilikeit,5
2f4fd7d7-2d2f-45f7-8ebf-ef82f0d80e14,Melissa jack boyfriend baby,5
230cc869-2c54-4457-975f-3fa195b1f92a,niee,5
02b0226c-cfc4-4282-8f06-a764bdf8e304,don't use it don't know how,1
1ddb4cf5-7b66-4264-836b-79ebbb891cfe,It was alright for early 2000s. Outdated now,3
ccbabd07-7042-4053-9b8f-e8951ce1fed6,😗,5
798b3b41-db65-4ffb-bbba-9424490bde5b,served well rip ig,4
7b71cd12-a190-4f65-83ea-10fa20ee166c,I hate the new update on Skype I don't have any of my friends on there anymore since the update deleted them,1
e58f44aa-6786-426d-91f4-17cc6bd18eeb,I have money on Skype and I can not access it to make phone calls.,1
e8c6a453-eb1f-4f84-8206-2f56e4c8444f,app is not starting,1
b9286960-ea75-4c70-9398-b899d6b0ddd9,goodbye :(,5
b3e07e2f-6c6e-4e53-89c1-9b3764267764,don't know,2
1ab56f74-48dd-45f2-8cbb-9ccd403739a3,A new chapter with Microsoft Teams,5
f7b4f481-bb82-45c9-b712-9ff6beb68220,difficult to navigate . not user friendly,1
704beb5b-6b8b-4597-a789-95b565a029d7,Thank Heaven that this Hacker-Friendly system is now DEFUNCT.,1
9a994b04-b73a-46d8-add4-387e4f0cd9c1,rip,5
0263833b-be80-4dcd-a386-7ec2c31579d0,skype is always safe n user friendly,5
cee6c54d-3771-4890-8a45-cd76bdbee79f,Thank you very very very much SkypEEEE!!!,5
746d4ddf-06c0-4d2a-981a-6b8c2e4ac4db,"Ms teams is better, Skype is outdated",1
9eb89160-db8d-4c28-bca6-9d03d2d80058,"Best video chatting application ever. I am so very, very, very sad to see it go. I both want and need it back.",5
ce9e2e83-1a0f-4723-84fd-138065cac851,everbest,5
7b4b14d8-62c5-425b-8b6a-3933a0877b22,"Full of bugs, freezes and cannot select emotions or even type in chat! It was good until Microsoft took over it! After that it was on a degradation slide! Good that this disgrace is gone!",1
8a16d1b7-1c1b-4307-b9d7-e431e71d620f,Never used.,1
344dccaa-d5f1-484d-8d9b-6113c3088f1c,good,5
8518a1a9-6a73-4128-ad54-2ed828076988,"Used it since 2010, Thanks",5
abd7ffea-b56d-4654-b7c8-758564cd241d,always best one,5
f7246168-1dc2-44a9-848e-c2995d50125f,Excellent.,5
e17e7867-6f03-4bfa-bd1c-b43d1f4e121a,Good,5
d869ba19-04fc-4825-a79c-e39fc43bfc6f,notification on,5
30542a79-08ab-4d93-8fbe-84b70b7800f0,Best app but screen share problem 😊,5
4a762e23-d46a-4fcd-96a7-bd6fd7e6cc7b,"Remember using Skype to chat with my family in the US, friends in school and more. Good times...",5
86f5382a-b4fb-4d5f-a70e-0745bf1d5508,nipa akhter@gmaril,5
1a37aaf5-01e0-4725-9a14-84cdd9d7de4e,tablet on Skype call and video call and chat,5
e321bc1b-857f-4304-98d7-4d196ce303c3,ahh skype was great app. i was using it since long time. but now its no more. rip skype. we will remember you for ever.,5
0a537d3e-c822-4c3a-bfb0-0d4d4366b158,yeah I can somehow still use it lol,5
bee17174-e175-41ee-b7bd-2cf7eb415f85,Worst program I ever seen,1
a852f087-0605-405b-8a5b-c5fc5810a523,outdated,1
f904f31f-bedc-446f-9d7f-c7c388a050b5,"Neutral rating. As use to use regularly. Now uninstalled, as there are other APPs that don't have lag affecting call quality.",3
b249b8c0-d689-40ff-aa83-fc8a04314807,Very low connection,3
09f3871b-7cbc-4e41-98b6-2b94fe3ba10c,I miss you Skype 😔 😞 😢,5
473173c6-a800-47d8-957d-05b1f7d20f78,it's really good.,5
473613cf-1ecc-4aef-a712-a24a81e2c56c,Skype was excellent until they got rid of their engine number,2
6821cc40-5b93-4d31-b3e8-52f354d8b6ad,goodbye Skype. I haven't uninstalled it until today. I used Skype for two decades. We kinda knew it would happen when it was bought. RIP,5
f9676166-4754-401f-8359-9bf2c048a9e5,cmon man,1
caff6d39-a15e-4c76-8d76-265e6bea74c5,RIP Skype 🪦,5
55db3d74-aaf2-4ac0-9050-04f67bb85e5d,RIP Skype. you shall be missed. you were the greatest messaging platform ever invented. even better than discord.,5
5f1b6710-46bd-460b-8719-d856129f7d39,Good,5
5f94520a-90ae-4549-9162-b4c5ee1a559c,B E S T !!!!,5
fa4a9631-a47d-40d0-b6a6-354ee0d2a097,"I really miss Skype. I used it from 2005 to 2025. Miss you, Skype.",5
c8f59340-0e06-41d1-8a5f-7e33aec403bf,best,5
