reviewId,content,score
71c76ec3-d06e-422c-9690-087f38638bd3,This new update is trash the back button is no longer available so I can't replay the song and the shuffle button is always and and it makes you use premium to get those this update is trash Spotify better fix this and bring back the old Spotify,5
27aa057f-63a8-4aff-857b-dcff5c7f1e3c,"The man's voice in the ads is very annoying bisaya, they make it like that to make us avail premium they make ads very annoying but little did they know the we lower our phone's volume when it comes their annoying voice ads.",1
dc6a12a1-e9bf-49a1-b8e3-1096182b077e,cool,4
9329bb12-cbad-4cf5-b8f3-4138c4b1d0bb,"ok but repeated ads,",1
38793c94-163a-46a8-ac35-cc0e33d9b1ff,great app,5
7517c566-b370-4e1f-9f6e-1472762c56f1,Awesome!,5
dce4659e-c058-40c6-9c59-fbf6a14a434e,"Hiding the amount of times people can choose the song they want to listen to, and the randomized playlists play the same three or four songs over and over again. And the ads get more excessive by the day.",1
db37961c-126a-41b2-91f3-ebe49813c5dc,Not sure what's going on. The search bar that appears when adding a song to a playlist has completely stopped working. Tried to send something to Support but just got some useless ai garbage.,1
01130b06-fb12-45d3-b4a3-b33a1f794b45,good,5
ecb9ce76-ae18-46f0-94de-d1a2e6b099b6,good,5
cdb57326-0abe-42c6-bced-1cbc04d2a34d,amazing experience,5
6d1fc5be-71a9-4f03-b8bf-63b4a4a79918,app is all good but i get too many ad's,4
55684156-a60a-4757-a0ee-df59a6452a24,حاجه قرف يعني ايه اختار اغنيه تشغلي انت حاجه تانيه علي ذوقك انت مال امك انت يعم انا عايزه اسمع دي و كل حاجه بريميوم هو ايه دا والله 😭😭,1
2194b4c1-33e7-405b-b0dc-c41f525ab0f3,i was ènjoying everytime i listen to spotify,5
519f887f-8168-4dc9-af26-4e50380e5865,"Let's be honest this is only a good app if you have premium, there are too many ads and they just added this new thing that makes you unable to listen to music not shuffled (you need premium). I have also had this app for years and they just keep getting more and more money hungry. I am trying to find a new app to switch to because this is getting out of hand.",1
98dd5bcb-426b-425b-923e-93a45bfe98fb,i love Spotify a lot. it's a great app,5
70fdd9f2-783d-4818-8723-1a9ccff919e1,I am getting kicked when im playing a song,1
99e3ccb6-582d-4d64-8e09-d7569774827f,Good I like all this!,5
