reviewId,content,score
9954eba6-f328-40ad-9fe0-1824757b59b2,the best game,5
bd0cce64-3677-4d92-9273-245978a5b534,it's a really fun game no need for Internet and high quality,5
f7d5c65f-a7aa-4345-8fed-59c3924b3940,😎 cool,5
4fe25ea8-089d-452c-9151-ef1156aaa06c,so great it's a great game,5
c90579a4-7d70-4d53-9b73-cd2257fcfbc2,this game is fun but challenging I like it,5
4177a1b7-030a-4227-a07d-6d525e360382,BEST G4ME EEE3VER.,5
b3a873c0-a74b-4531-9039-87daa58be6ac,"A great game to play when you're bored! You can compare your scores with friends, buy sick characters and the special items are good, not too much or too little, love the game, I would rate it higher If I could 😁",5
9e0e7f8d-8065-4b9d-817d-aff3b56eb749,Accha app hai,5
0a7c6987-2c7b-4fcb-9fba-cdb6d860f784,good game,5
8fe87dba-55e2-4b08-9228-493d9235287a,best game ever,5
7b1aa9a3-6b97-4d7c-b764-29e4dcdac904,good game,4
be34fa05-ef5f-413a-89dc-d8d2d9d27549,"Re-downloading this game for the infinite time now, this game is very good, it's a good way to kill time if bored and it's always fun when playing",5
b9868aae-c86e-4769-a820-0b1eba0647b1,good game,5
b224d464-9e98-4500-b937-9e515a5dabc1,Best but I hate that you got to download the events games but other than that I love it,4
9bc957c4-a01a-491b-a316-a917b1812c8d,it keeps me busy from many things although I'm not sure in return what will I gain.or win,5
477cb623-fd2f-478c-8172-0db0afdff669,this is the best game out there 🙌🏾 👏 💯 🤣😅😚,5
eee2336d-6ded-47da-8a09-7a642c5a04bd,cool,5
fca7293c-ca80-4609-a4f2-d0a10bc58951,I love this game,3
7ce39557-7e9e-42d4-9b63-b244794ccc70,this is the best childhood game I ever played this is nostalgia as when I was 6 I am now 12 this game gave me a great life,5
bfeb0852-e23d-45cf-a3b5-8128d3581b39,This game is super fun and you don't need any data or WiFi you can online and offline,5
fcdb5fb1-8495-40cc-a4d2-52e3193dc3f4,"Fun and addictive, pretty simple and long gameplay!",5
6dbf0e27-4810-4c39-95cc-b681905cbdae,#1 game with childhood memories.,5
0f45009e-e090-460c-8cec-128ab44690f0,I used to play this game a lot feel like it,5
610a2cb8-29d1-48bd-802f-f669bc022706,very good,5
b1998348-97c7-40c0-a73b-6d9ccd9e412f,Very good game,5
35fff447-77f4-4dc5-8f4b-4559148570aa,It good.I like it. It is good for you to have it. It is nice. I like to have and you. It is nice to use. It is nice to use the app. It is nice to use when you are not doing anything. Good bye. THANKS. THANKS FOR CHATTING WHITH ME. CAN YOU SHOW YOUR PICTURES. THANK YOU.,5
8156e8b7-1819-4e7e-9ff4-3a99690aa6f0,it is great definitely play,5
6b34d937-494f-404a-ace9-6ed620aa4158,Hello I loved the Aloha Hawaii theme pinkish with all the flowers please make of this theme more,5
dab8318e-372e-42fb-a04a-85a30abfdb75,has anyone noticed that whenever you start it up the middle blue guys ring is on the wrong side of the lip🫠😆😆,5
01e838ff-d16e-40c2-a09f-0e3d3aaf5e6d,I love you subway surfers💢 it's very long time hah🥱,5
48423934-d5e4-46de-9b41-94a0c8a0f48b,good,3
366da035-6261-404b-b274-27b4b52da257,fun game to play when your a kind 😇 😊,5
c0ebbc2b-379f-4ebe-88bd-d4911d31ec11,Nothing beats Subway Surfers!!!!!!!! still Iconic.,5
f2b07a68-6ba0-4037-8c3f-8b9ff3a35b50,I was playing the game and all of a sudden it stopped please put it back for me I love the game,5
7e81e981-f0f8-4c91-922f-38f368988f45,nice. game . enjoyable game I personally like this game that's all from my side THANK YOU FOR LISTENING ME.,5
78f70d8a-ecbc-4dad-bddf-f3e7ae0aab98,nice game,5
